dataset,zero_index_pair,q_geometric,side,A,B,distance_near,distance_far,count_upper_raw,count_upper,known_endpoint_excluded,fmax,G_bound
around_1e12,1000000008625/1000000008626,1.25,right,267653397888.877007,267653397895.311253,25.736984821125,32.17123102640625,40.0,40.0,False,0.0030187066601987615,0.12074826640795046
around_1e12,1000000008625/1000000008626,1.25,right,267653397895.311253,267653397903.354061,32.17123102640625,40.2140387830078125,47.0,47.0,False,0.00193205565977737925,0.0908066160095368246
around_1e12,1000000008625/1000000008626,1.25,right,267653397903.354061,267653397913.407571,40.2140387830078125,50.2675484787597656,54.0,54.0,False,0.00123655832662748383,0.0667741496378841268
around_1e12,1000000008625/1000000008626,1.25,right,267653397913.407571,267653397925.974458,50.2675484787597656,62.834435598449707,64.0,64.0,False,0.000791419195718232983,0.0506508285259669109
around_1e12,1000000008625/1000000008626,1.25,right,267653397925.974458,267653397941.683067,62.834435598449707,78.5430444980621338,76.0,76.0,False,0.000506519481833470204,0.0384954806193437355
around_1e12,1000000008625/1000000008626,1.25,right,267653397941.683067,267653397961.318828,78.5430444980621338,98.1788056225776672,92.0,92.0,False,0.000324178201361401191,0.0298243945252489095
around_1e12,1000000008625/1000000008626,1.25,right,267653397961.318828,267653397985.863529,98.1788056225776672,122.723507028222084,111.0,111.0,False,0.00020747698430131544,0.0230299452574460138
around_1e12,1000000008625/1000000008626,1.25,right,267653397985.863529,267653398016.544406,122.723507028222084,153.404383785277605,135.0,135.0,False,0.000132786772950429521,0.0179262143483079853
around_1e12,1000000008625/1000000008626,1.25,right,267653398016.544406,267653398054.895502,153.404383785277605,191.755479731597006,165.0,165.0,False,0.0000849843042465592914,0.0140224102006822831
around_1e12,1000000008625/1000000008626,1.25,right,267653398054.895502,267653398102.834372,191.755479731597006,239.694349664496258,202.0,202.0,False,0.0000543903487412735112,0.0109868504457372493
around_1e12,1000000008625/1000000008626,1.25,right,267653398102.834372,267653398162.757959,239.694349664496258,299.617937080620322,249.0,249.0,False,0.0000348100249383807197,0.0086676962096567992
around_1e12,1000000008625/1000000008626,1.25,right,267653398162.757959,267653398237.662443,299.617937080620322,374.522421350775403,307.0,307.0,False,0.0000222785192550904797,0.00683950541131277727
around_1e12,1000000008625/1000000008626,1.25,right,267653398237.662443,267653398331.293049,374.522421350775403,468.153026688469254,380.0,380.0,False,0.0000142583052107177262,0.00541815598007273596
around_1e12,1000000008625/1000000008626,1.25,right,267653398331.293049,267653398448.331305,468.153026688469254,585.191283360586567,471.0,471.0,False,9.12534241350996745e-6,0.00429803627676319467
around_1e12,1000000008625/1000000008626,1.25,right,267653398448.331305,267653398594.629126,585.191283360586567,731.489104200733209,585.0,585.0,False,5.84023300902658089e-6,0.00341653631028054982
around_1e12,1000000008625/1000000008626,1.25,right,267653398594.629126,267653398777.501402,731.489104200733209,914.361380250916511,728.0,728.0,False,3.73775622438517506e-6,0.00272108653135240744
around_1e12,1000000008625/1000000008626,1.25,right,267653398777.501402,267653399006.091747,914.361380250916511,1142.95172531364564,906.0,906.0,False,2.39216761811252858e-6,0.0021673038620099509
around_1e12,1000000008625/1000000008626,1.25,right,267653399006.091747,267653399291.829679,1142.95172531364564,1428.68965664205705,1128.0,1128.0,False,1.5309891364667325e-6,0.00172695574593447427
around_1e12,1000000008625/1000000008626,1.25,right,267653399291.829679,267653399649.002093,1428.68965664205705,1785.86207080257131,1407.0,1407.0,False,9.79834000109689275e-7,0.00137862643815433281
around_1e12,1000000008625/1000000008626,1.25,right,267653399649.002093,267653400095.467611,1785.86207080257131,2232.32758850321414,1754.0,1754.0,False,6.27094247890223878e-7,0.00109992331079945268
around_1e12,1000000008625/1000000008626,1.25,right,267653400095.467611,267653400653.549508,2232.32758850321414,2790.40948562901767,2189.0,2189.0,False,4.01340568414119518e-7,0.000878534504258507626
around_1e12,1000000008625/1000000008626,1.25,right,267653400653.549508,267653401351.151879,2790.40948562901767,3488.01185703627209,2733.0,2733.0,False,2.56858091664611999e-7,0.000701993164519384593
